Data_da_Ocorrencia;Hora_da_Ocorrencia;Municipio;UF;Regiao;Descricao_do_Tipo;ICAO
17/06/2020;22:10;ALTO ALEGRE;RR;Norte;OUTROS;SJYG
13/04/2013;17:56;Brasília;DF;Centro-Oeste;COLISÃO NO SOLO;SBBR
02/10/2020;19:02;CAMPINAS;SP;Sudeste;FOGO/FUMAÇA;SBKP
07/10/2020;15:30;ARAÇATUBA;SP;Sudeste;CONTATO ANORMAL COM A PISTA;SBAU
06/10/2020;15:25;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMT
02/10/2020;14:58;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMT
08/10/2020;16:00;CORUMBÁ ;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
16/10/2020;17:45;MACAPÁ;AP;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMQ
16/10/2020;17:30;CANTÁ;RR;Norte;COLISÃO COM AVE;SWPD
09/12/2020;21:30:00;SANT'ANA DO LIVRAMENTO;RS;Sul;COMBUSTÍVEL;Fora de Aeródromo
23/11/2020;10:35;MACEIÓ;AL;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMO
09/12/2020;14:30;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSP
15/06/2020;18:20;BAURU;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBU
19/11/2020;15:00;IPIXUNA DO PARÁ;PA;Norte;OUTROS;Aeródromo não cadastrado
02/11/2010;null;null;Indeterminado;null;null;null
11/10/2010;null;null;PR;Sul;null;null
21/06/2010;null;null;PR;Sul;null;null
09/06/2020;14:00;IBIRAMA;SC;Sul;COLISÃO COM AVE;Fora de Aeródromo
26/05/2020;08:20;SÃO PAULO;SP;Sudeste;OPERAÇÕES NO SOLO;SBSP
10/06/2020;01:30;PORTO VELHO;RO;Norte;MANOBRA ABRUPTA;SBPV
15/10/2020;11:00;RIO CLARO;RJ;Sudeste;PERDA DE CONTROLE EM VOO;Fora de Aeródromo
07/07/2009;null;null;PR;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
13/10/2006;null;null;ES;Sudeste;null;null
20/08/2002;null;null;Indeterminado;null;null;null
20/11/2002;null;null;Indeterminado;null;null;null
04/03/2020;22:50;Campinas;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
19/11/2020;15:00;IPIXUNA DO PARÁ;PA;Norte;EXCURSÃO DE PISTA;Aeródromo não cadastrado
11/12/2020;21:15;ANGRA DOS REIS;RJ;Sudeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
18/12/2020;13:00;GOIATUBA;GO;Centro-Oeste;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
19/12/2020;12:37;MANAUS;AM;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBEG
10/01/2021;03:26;SANTARÉM;PA;Norte;COLISÃO COM AVE;SBSN
09/01/2021;11:00;FORTALEZA;CE;Nordeste;CONTATO ANORMAL COM A PISTA;SBFZ
15/11/2020;22:52;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGL
07/11/2020;09:39;BOITUVA;SP;Sudeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
07/01/2021;21:22;RIO DE JANEIRO;RJ;Sudeste;OUTROS;SBGL
15/11/2020;22:52;RIO DE JANEIRO;RJ;Sudeste;CORTANTE DE VENTO / TEMPESTADE;SBGL
05/01/2021;20:07;IRACEMA;RR;Norte;VOO CONTROLADO CONTRA O TERRENO;Fora de Aeródromo
15/12/2020;14:30;ÁGUAS DE SANTA BÁRBARA;SP;Sudeste;OPERAÇÕES NO SOLO;SSZT
10/02/2021;13:40;MANDAGUAÇU;PR;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
03/02/2021;16:29:00;IRACEMA ;RR;Norte;INDETERMINADO;Fora de Aeródromo
10/02/2021;03:51;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBKP
08/02/2021;20:00;SÃO JOSÉ DOS PINHAIS;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBCT
16/09/2020;14:40;CRIXÁS;GO;Centro-Oeste;null;Fora de Aeródromo
13/09/2020;16:45;ANGRA DOS REIS;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SDAG
05/02/2021;21:00;CABO FRIO;RJ;Sudeste;CONTATO ANORMAL COM A PISTA;SBCB
12/02/2021;03:20;CAMPINAS;SP;Sudeste;FOGO/FUMAÇA;SBKP
16/09/2020;17:45;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBJR
02/02/2021;12:15;SÃO FÉLIX DO XINGU;PA;Norte;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
14/09/2020;20:00;ANAPU;PA;Norte;EXCURSÃO DE PISTA;Aeródromo não cadastrado
29/12/2020;19:00;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBKP
01/02/2021;09:20;VIAMÃO;RS;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
16/02/2021;17:20;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SDAM
13/02/2021;18:40;NOVO PROGRESSO;PA;Norte;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
10/02/2021;15:30;VARGINHA;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBVG
12/02/2021;16:00;CONCEIÇÃO DAS ALAGOAS;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
12/02/2021;16:00;CONCEIÇÃO DAS ALAGOAS;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
08/11/2020;21:00;ARAPONGAS;PR;Sul;INDETERMINADO;Fora de Aeródromo
16/02/2021;15:30;SÃO LOURENÇO DO SUL;RS;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
30/10/2020;15:45;CAUCAIA;CE;Nordeste;COMBUSTÍVEL;Fora de Aeródromo
16/10/2020;14:30:00;URUGUAIANA;RS;Sul;PERDA DE CONTROLE NO SOLO;Fora de Aeródromo
16/10/2020;14:30:00;URUGUAIANA;RS;Sul;EXCURSÃO DE PISTA;Fora de Aeródromo
16/10/2020;14:30:00;URUGUAIANA;RS;Sul;COLISÃO COM FAUNA;Fora de Aeródromo
01/03/2020;23:00:00;CUIABÁ;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBCY
06/01/2021;12:48;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
22/05/2020;15:20;Irauçuba;CE;Nordeste;OUTROS;Fora de Aeródromo
10/03/2020;23:51;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
04/08/2020;12:15;PORTO ALEGRE;RS;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPA
03/08/2020;20:10;SALVADOR;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSV
29/10/2020;19:28;BELÉM;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBJC
08/06/2020;16:47;Londrina;PR;Sul;OUTROS;SBLO
09/06/2020;12:05;Guarulhos;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
14/11/2020;23:16;PORTO SEGURO;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPS
15/08/2020;19:00;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBH
26/08/2020;13:10;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMT
14/11/2020;12:12;SÃO LUÍS;MA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSL
09/08/2020;12:10;RIO DE JANEIRO;RJ;Sudeste;OUTROS;Fora de Aeródromo
02/09/2020;19:30;MACEIÓ;AL;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBMO
02/12/2020;16:35;QUATRO BARRAS;PR;Sul;INDETERMINADO;Fora de Aeródromo
20/09/2020;18:50;MANAUS;AM;Norte;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBEG
06/07/2014;19:05:00;BARRA DO BUGRES;MT;Centro-Oeste;EXCURSÃO DE PISTA;null
02/12/2020;16:30;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBGL
20/08/2014;18:57:00;UIRAMUTÃ;RR;Norte;EXCURSÃO DE PISTA;null
28/11/2020;16:00;JOÃO PESSOA;PB;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBJP
23/08/2014;02:43:00;CAMPO GRANDE;MS;Centro-Oeste;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;null
19/05/2020;10:40;Tietê;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SDET
19/05/2020;10:40;Tietê;SP;Sudeste;PERDA DE CONTROLE EM VOO;SDET
28/05/2020;16:30;Pará de Minas;PA;Norte;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SNPA
09/06/2020;14:35;Rio de Janeiro;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
04/06/2020;15:00;Araçatuba;SP;Sudeste;COLISÃO COM AVE;SBAU
08/06/2020;19:03;Belém;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBE
03/06/2020;21:23;Rio de Janeiro;RJ;Sudeste;COLISÃO NO SOLO;SBRJ
01/06/2020;12:50;Campinas;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBKP
31/08/2020;15:30;ARIPUANÃ;MT;Centro-Oeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;SSOU
09/09/2020;16:20;CURITIBA;PR;Sul;CONTATO ANORMAL COM A PISTA;SBBI
30/09/2020;13:15;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SSOK
29/09/2020;19:15;SANTA TEREZINHA;MT;Centro-Oeste;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
19/09/2020;14:20;SOROCABA;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SDCO
26/04/2020;13:30;UBERLÂNDIA;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
06/11/2020;14:30;SÃO FRANCISCO DO SUL;SC;Sul;COM CARGAS EXTERNAS;SWZZ
16/11/2020;20:30;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMT
14/11/2020;14:20;SÃO PEDRO;SP;Sudeste;INDETERMINADO;Fora de Aeródromo
19/11/2020;17:26;ALTAMIRA;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBIH
23/11/2020;16:30;QUERÊNCIA;MT;Centro-Oeste;EXCURSÃO DE PISTA;APUA
24/11/2020;20:00;PORTO NACIONAL;TO;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SWEJ
25/11/2020;15:40;TRÊS MARIAS;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SNAS
14/10/2020;13:59;FLORIANÓPOLIS ;PR;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
08/12/2020;17:00;null;MT;Centro-Oeste;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
17/11/2020;16:00;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
12/12/2020;18:00;RIO BRILHANTE ;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
10/01/2021;13:00;CONCÓRDIA;SC;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SSCK
13/12/2020;13:41;BELO HORIZONTE;MG;Sudeste;EXCURSÃO DE PISTA;SBPR
14/01/2021;20:00;CAMPO GRANDE;MS;Centro-Oeste;CONTATO ANORMAL COM A PISTA;SSIE
08/01/2021;13:12;CAMPO GRANDE;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBCG
13/12/2020;13:41;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPR
03/01/2021;11:45;RECIFE;PE;Nordeste;OPERAÇÕES NO SOLO;SBRF
06/01/2021;13:50;VILA VELHA;ES;Sudeste;PERDA DE CONTROLE EM VOO;SIVU
30/12/2020;13:59;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBJR
19/01/2021;20:10;PARÁ DE MINAS;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SNPA
20/01/2021;10:55;VALENÇA;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SNVB
12/12/2020;17:22;PERDIZES;MG;Sudeste;COMBUSTÍVEL;Fora de Aeródromo
16/11/2020;22:00;CRUZEIRO DO SUL;AC;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBCZ
14/01/2021;09:27;NOVA LIMA;MG;Sudeste;OUTROS;SJLY
17/02/2021;22:30;SALVADOR;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBSV
17/11/2020;18:20;MACAÉ;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBME
06/12/2020;11:00:00;BOM JESUS;PI;Nordeste;EXCURSÃO DE PISTA;Fora de Aeródromo
17/11/2020;20:18;PORTO ALEGRE;RS;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPA
11/11/2020;17:00;BOM RETIRO;SC;Sul;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
08/03/2020;12:07;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBCF
06/12/2020;11:00:00;BOM JESUS;PI;Nordeste;CONTATO ANORMAL COM A PISTA;Fora de Aeródromo
25/11/2020;01:00;MANAUS;AM;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBEG
29/01/2020;11:50;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBCF
02/02/2021;13:00;AMERICANO DO BRASIL;GO;Centro-Oeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
04/12/2020;15:30;SOROCABA;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SDCO
