D,p,n,alpha_label,oct_train_mean,oct_val_mean,cart_train_mean,cart_val_mean,oct_active_br,cart_branches
1,2,100,0,0.1075,0.14,0.1075,0.15,1.0,1.0
1,2,100,2/n,0.11750000000000001,0.16,0.11750000000000001,0.15,1.0,1.0
1,2,200,0,0.065,0.08499999999999999,0.065,0.09,1.0,0.8
1,2,200,2/n,0.17250000000000001,0.2,0.175,0.185,1.0,1.0
1,6,100,0,0.145,0.16999999999999998,0.1525,0.2,1.0,1.0
1,6,100,2/n,0.20249999999999999,0.19,0.20249999999999999,0.19,1.0,1.0
1,6,200,0,0.175,0.19,0.18125,0.18,1.0,1.0
1,6,200,2/n,0.0675,0.085,0.0675,0.08,1.0,1.0
2,2,100,0,0.0225,0.06999999999999999,0.07749999999999999,0.1,3.0,2.6
2,2,100,2/n,0.0625,0.06999999999999999,0.0725,0.06,2.2,2.0
2,2,200,0,0.00125,0.025,0.028750000000000005,0.034999999999999996,2.8,1.8
2,2,200,2/n,0.041249999999999995,0.05500000000000001,0.06625,0.095,3.0,2.6
2,6,100,0,0.06999999999999999,0.12999999999999998,0.08249999999999999,0.18,3.0,2.8
2,6,100,2/n,0.057499999999999996,0.1,0.10500000000000001,0.17,2.6,2.6
2,6,200,0,0.04875,0.05,0.08,0.095,3.0,3.0
2,6,200,2/n,0.03375,0.06,0.05125,0.06,2.6,2.8
3,2,100,0,0.0075000000000000015,0.05,0.0075000000000000015,0.02,6.6,4.0
3,2,100,2/n,0.01,0.030000000000000006,0.0375,0.06,3.4,3.4
3,2,200,0,0.0025,0.015000000000000003,0.0,0.015,6.4,2.2
3,2,200,2/n,0.0037500000000000007,0.015000000000000003,0.01875,0.019999999999999997,3.6,4.0
3,6,100,0,0.01,0.08,0.05500000000000001,0.13999999999999999,6.8,4.8
3,6,100,2/n,0.0425,0.13,0.03,0.12,3.4,4.6
3,6,200,0,0.01,0.065,0.013750000000000002,0.030000000000000006,6.8,6.0
3,6,200,2/n,0.03625,0.05500000000000001,0.02375,0.06999999999999999,2.8,5.0
