D,p,n,alpha_label,n_instances,pct_optimal,mean_time_s,max_time_s,mean_mip_gap
1,2,100,0,5,100.0,0.0692062,0.083307,
1,2,100,2/n,5,100.0,0.0739858,0.079983,
1,2,200,0,5,100.0,0.0953196,0.158334,
1,2,200,2/n,5,100.0,0.1336272,0.141067,
1,6,100,0,5,100.0,0.0811272,0.097567,
1,6,100,2/n,5,100.0,0.09797259999999999,0.130853,
1,6,200,0,5,100.0,0.22335359999999999,0.24837,
1,6,200,2/n,5,100.0,0.1501796,0.157365,
2,2,100,0,5,100.0,1.4439094000000001,3.245017,
2,2,100,2/n,5,100.0,1.1014752,1.645621,
2,2,200,0,5,100.0,1.4926879999999998,2.735491,
2,2,200,2/n,5,100.0,10.7670636,18.714847,
2,6,100,0,5,100.0,21.6173784,62.988627,
2,6,100,2/n,5,100.0,21.7438762,50.939156,
2,6,200,0,5,100.0,82.1373888,109.943529,
2,6,200,2/n,5,100.0,69.1422414,118.074498,
3,2,100,0,5,100.0,6.433449400000001,17.004864,
3,2,100,2/n,5,100.0,78.796912,348.854533,
3,2,200,0,5,100.0,6.294238399999999,20.091383,
3,2,200,2/n,5,100.0,378.90226659999996,1160.384703,
3,6,100,0,5,100.0,182.6337344,706.096079,
3,6,100,2/n,5,40.0,809.3476451999999,1200.007617,0.502164
3,6,200,0,5,80.0,612.8041278000001,1201.00239,1.0
3,6,200,2/n,5,20.0,961.6995612000001,1200.012206,0.5831355
