Dtrue,D,p,n,alpha,tree_instance,oct_train_error,oct_val_error,oct_solve_time,oct_optimal,oct_mip_gap,oct_active_branches,cart_train_error,cart_val_error,cart_n_branches
3,1,2,100,0.000000,0,0.087500,0.100000,0.083307,1,0.000000,1,0.087500,0.100000,1
3,2,2,100,0.000000,0,0.000000,0.050000,1.061163,1,0.000000,3,0.000000,0.000000,3
3,3,2,100,0.000000,0,0.000000,0.000000,1.452787,1,0.000000,6,0.000000,0.000000,3
3,1,2,100,0.000000,1,0.050000,0.050000,0.069657,1,0.000000,1,0.050000,0.000000,1
3,2,2,100,0.000000,1,0.000000,0.000000,0.186487,1,0.000000,3,0.050000,0.000000,2
3,3,2,100,0.000000,1,0.000000,0.000000,1.260914,1,0.000000,7,0.000000,0.000000,3
3,1,2,100,0.000000,2,0.212500,0.300000,0.064635,1,0.000000,1,0.212500,0.300000,1
3,2,2,100,0.000000,2,0.037500,0.150000,3.245017,1,0.000000,3,0.212500,0.250000,3
3,3,2,100,0.000000,2,0.000000,0.050000,17.004864,1,0.000000,7,0.012500,0.100000,5
3,1,2,100,0.000000,3,0.125000,0.200000,0.067363,1,0.000000,1,0.125000,0.300000,1
3,2,2,100,0.000000,3,0.062500,0.150000,1.351411,1,0.000000,3,0.075000,0.150000,3
3,3,2,100,0.000000,3,0.025000,0.150000,5.175853,1,0.000000,6,0.000000,0.000000,5
3,1,2,100,0.000000,4,0.062500,0.050000,0.061069,1,0.000000,1,0.062500,0.050000,1
3,2,2,100,0.000000,4,0.012500,0.000000,1.375469,1,0.000000,3,0.050000,0.100000,2
3,3,2,100,0.000000,4,0.012500,0.050000,7.272829,1,0.000000,7,0.025000,0.000000,4
3,1,2,100,0.020000,0,0.025000,0.000000,0.074033,1,0.000000,1,0.025000,0.000000,1
3,2,2,100,0.020000,0,0.000000,0.000000,0.275371,1,0.000000,2,0.000000,0.000000,2
3,3,2,100,0.020000,0,0.012500,0.000000,0.960994,1,0.000000,2,0.000000,0.000000,2
3,1,2,100,0.020000,1,0.125000,0.300000,0.068520,1,0.000000,1,0.125000,0.300000,1
3,2,2,100,0.020000,1,0.075000,0.150000,1.180792,1,0.000000,3,0.075000,0.000000,2
3,3,2,100,0.020000,1,0.012500,0.050000,7.733883,1,0.000000,3,0.000000,0.000000,3
3,1,2,100,0.020000,2,0.250000,0.300000,0.078289,1,0.000000,1,0.250000,0.300000,1
3,2,2,100,0.020000,2,0.100000,0.150000,1.391512,1,0.000000,2,0.100000,0.150000,2
3,3,2,100,0.020000,2,0.025000,0.050000,348.854533,1,0.000000,4,0.100000,0.150000,4
3,1,2,100,0.020000,3,0.100000,0.050000,0.069104,1,0.000000,1,0.100000,0.000000,1
3,2,2,100,0.020000,3,0.100000,0.000000,1.645621,1,0.000000,1,0.100000,0.000000,2
3,3,2,100,0.020000,3,0.000000,0.000000,13.480973,1,0.000000,4,0.062500,0.000000,4
3,1,2,100,0.020000,4,0.087500,0.150000,0.079983,1,0.000000,1,0.087500,0.150000,1
3,2,2,100,0.020000,4,0.037500,0.050000,1.014080,1,0.000000,3,0.087500,0.150000,2
3,3,2,100,0.020000,4,0.000000,0.050000,22.954177,1,0.000000,4,0.025000,0.150000,4
3,1,2,200,0.000000,0,0.018750,0.050000,0.158334,1,0.000000,1,0.018750,0.050000,1
3,2,2,200,0.000000,0,0.000000,0.000000,1.921842,1,0.000000,3,0.000000,0.000000,2
3,3,2,200,0.000000,0,0.006250,0.025000,3.216972,1,0.000000,6,0.000000,0.000000,2
3,1,2,200,0.000000,1,0.118750,0.175000,0.103368,1,0.000000,1,0.118750,0.175000,1
3,2,2,200,0.000000,1,0.006250,0.100000,2.414846,1,0.000000,3,0.006250,0.075000,3
3,3,2,200,0.000000,1,0.006250,0.025000,20.091383,1,0.000000,7,0.000000,0.075000,4
3,1,2,200,0.000000,2,0.137500,0.100000,0.111305,1,0.000000,1,0.137500,0.100000,1
3,2,2,200,0.000000,2,0.000000,0.025000,2.735491,1,0.000000,3,0.137500,0.100000,2
3,3,2,200,0.000000,2,0.000000,0.025000,6.204843,1,0.000000,7,0.000000,0.000000,3
3,1,2,200,0.000000,3,0.050000,0.100000,0.090836,1,0.000000,1,0.050000,0.125000,1
3,2,2,200,0.000000,3,0.000000,0.000000,0.370005,1,0.000000,2,0.000000,0.000000,2
3,3,2,200,0.000000,3,0.000000,0.000000,1.910085,1,0.000000,5,0.000000,0.000000,2
3,1,2,200,0.000000,4,0.000000,0.000000,0.012755,1,0.000000,1,0.000000,0.000000,0
3,2,2,200,0.000000,4,0.000000,0.000000,0.021256,1,0.000000,3,0.000000,0.000000,0
3,3,2,200,0.000000,4,0.000000,0.000000,0.047909,1,0.000000,7,0.000000,0.000000,0
3,1,2,200,0.010000,0,0.031250,0.025000,0.127719,1,0.000000,1,0.031250,0.025000,1
3,2,2,200,0.010000,0,0.000000,0.000000,2.556224,1,0.000000,3,0.031250,0.025000,2
3,3,2,200,0.010000,0,0.000000,0.025000,37.297776,1,0.000000,3,0.000000,0.000000,3
3,1,2,200,0.010000,1,0.206250,0.300000,0.130249,1,0.000000,1,0.218750,0.225000,1
3,2,2,200,0.010000,1,0.062500,0.100000,16.358713,1,0.000000,3,0.068750,0.075000,3
3,3,2,200,0.010000,1,0.000000,0.025000,1160.384703,1,0.000000,5,0.018750,0.025000,5
3,1,2,200,0.010000,2,0.068750,0.075000,0.132329,1,0.000000,1,0.068750,0.075000,1
3,2,2,200,0.010000,2,0.018750,0.000000,9.603326,1,0.000000,3,0.062500,0.125000,3
3,3,2,200,0.010000,2,0.012500,0.025000,75.327380,1,0.000000,3,0.000000,0.000000,5
3,1,2,200,0.010000,3,0.275000,0.300000,0.136772,1,0.000000,1,0.275000,0.300000,1
3,2,2,200,0.010000,3,0.125000,0.175000,18.714847,1,0.000000,3,0.137500,0.175000,2
3,3,2,200,0.010000,3,0.006250,0.000000,522.617942,1,0.000000,4,0.075000,0.075000,3
3,1,2,200,0.010000,4,0.281250,0.300000,0.141067,1,0.000000,1,0.281250,0.300000,1
3,2,2,200,0.010000,4,0.000000,0.000000,6.602208,1,0.000000,3,0.031250,0.075000,3
3,3,2,200,0.010000,4,0.000000,0.000000,98.883532,1,0.000000,3,0.000000,0.000000,4
3,1,6,100,0.000000,0,0.050000,0.000000,0.069648,1,0.000000,1,0.062500,0.050000,1
3,2,6,100,0.000000,0,0.025000,0.050000,1.951384,1,0.000000,3,0.012500,0.050000,2
3,3,6,100,0.000000,0,0.012500,0.050000,5.441700,1,0.000000,7,0.000000,0.000000,3
3,1,6,100,0.000000,1,0.050000,0.050000,0.078217,1,0.000000,1,0.050000,0.100000,1
3,2,6,100,0.000000,1,0.000000,0.150000,2.539892,1,0.000000,3,0.000000,0.150000,3
3,3,6,100,0.000000,1,0.000000,0.100000,2.525189,1,0.000000,7,0.000000,0.150000,3
3,1,6,100,0.000000,2,0.250000,0.200000,0.097567,1,0.000000,1,0.275000,0.250000,1
3,2,6,100,0.000000,2,0.100000,0.100000,29.643833,1,0.000000,3,0.137500,0.150000,3
3,3,6,100,0.000000,2,0.012500,0.050000,165.881593,1,0.000000,7,0.075000,0.150000,6
3,1,6,100,0.000000,3,0.137500,0.300000,0.077418,1,0.000000,1,0.137500,0.300000,1
3,2,6,100,0.000000,3,0.062500,0.050000,10.963156,1,0.000000,3,0.087500,0.250000,3
3,3,6,100,0.000000,3,0.012500,0.100000,33.224111,1,0.000000,6,0.075000,0.250000,5
3,1,6,100,0.000000,4,0.237500,0.300000,0.082786,1,0.000000,1,0.237500,0.300000,1
3,2,6,100,0.000000,4,0.162500,0.300000,62.988627,1,0.000000,3,0.175000,0.300000,3
3,3,6,100,0.000000,4,0.012500,0.100000,706.096079,1,0.000000,7,0.125000,0.150000,7
3,1,6,100,0.020000,0,0.225000,0.150000,0.094550,1,0.000000,1,0.225000,0.150000,1
3,2,6,100,0.020000,0,0.112500,0.150000,37.597503,1,0.000000,2,0.112500,0.150000,2
3,3,6,100,0.020000,0,0.050000,0.150000,1200.006528,0,0.442734,3,0.037500,0.150000,4
3,1,6,100,0.020000,1,0.225000,0.150000,0.090741,1,0.000000,1,0.225000,0.150000,1
3,2,6,100,0.020000,1,0.025000,0.150000,11.155738,1,0.000000,3,0.137500,0.300000,3
3,3,6,100,0.020000,1,0.012500,0.100000,1200.007617,0,0.348729,4,0.000000,0.150000,6
3,1,6,100,0.020000,2,0.062500,0.150000,0.084658,1,0.000000,1,0.062500,0.150000,1
